B2_ionic_radius,A_electronegativity,B1_electronegativity,B2_electronegativity,B1_electron_affinity,B2_electron_affinity,X_electron_affinity,B1_first_ionization_energy,X_first_ionization_energy,A_second_ionization_energy,B1_second_ionization_energy,A_melting_point,B1_melting_point,B1_thermal_conductivity,A_boiling_point,B1_boiling_point,X_boiling_point,X_third_ionization_energy,band_gap
0.83,1.1,1.83,1.91,0.15323634,1.1571612,1.4611053,7.9024681,13.618055,11.18496,16.19921,1193.0,1811.0,80.0,3743.0,3134.0,90.2,54.93554,0.0
0.76,1.1,1.88,1.81,0.662265,0.3012011,1.4611053,7.88101,13.618055,11.18496,17.0844,1193.0,1768.0,100.0,3743.0,3200.0,90.2,54.93554,0.0
0.67,1.1,1.31,1.55,-0.42,-0.52,1.4611053,7.646236,13.618055,11.18496,15.035271,1193.0,923.0,160.0,3743.0,1363.0,90.2,54.93554,1.715
0.86,1.1,2.01,1.31,1.232676413,-0.42,1.4611053,7.899435,13.618055,11.18496,15.93461,1193.0,1211.4,60.0,3743.0,3093.0,90.2,54.93554,0.4233
0.785,1.1,1.88,1.83,0.662265,0.15323634,1.4611053,7.88101,13.618055,11.18496,17.0844,1193.0,1768.0,100.0,3743.0,3200.0,90.2,54.93554,0.0
0.83,1.1,1.55,1.91,-0.52,1.1571612,1.4611053,7.434038,13.618055,11.18496,15.63999,1193.0,1519.0,7.8,3743.0,2334.0,90.2,54.93554,1.2797
0.83,1.1,1.81,1.91,0.3012011,1.1571612,1.4611053,5.999302,13.618055,11.18496,20.51514,1193.0,302.91,29.0,3743.0,2477.0,90.2,54.93554,0.0
0.785,1.1,1.66,1.83,0.6758412,0.15323634,1.4611053,6.76651,13.618055,11.18496,16.486305,1193.0,2180.0,94.0,3743.0,2944.0,90.2,54.93554,0.3097
0.67,1.1,1.66,1.55,0.6758412,-0.52,1.4611053,6.76651,13.618055,11.18496,16.486305,1193.0,2180.0,94.0,3743.0,2944.0,90.2,54.93554,0.7624
0.76,1.1,1.83,1.81,0.15323634,0.3012011,1.4611053,7.9024681,13.618055,11.18496,16.19921,1193.0,1811.0,80.0,3743.0,3134.0,90.2,54.93554,2.3079
0.67,1.1,1.81,1.55,0.3012011,-0.52,1.4611053,5.999302,13.618055,11.18496,20.51514,1193.0,302.91,29.0,3743.0,2477.0,90.2,54.93554,1.5555
0.83,1.1,1.88,1.91,0.662265,1.1571612,1.4611053,7.88101,13.618055,11.18496,17.0844,1193.0,1768.0,100.0,3743.0,3200.0,90.2,54.93554,0.9972
0.88,1.1,1.55,1.65,-0.52,-0.62,1.4611053,7.434038,13.618055,11.18496,15.63999,1193.0,1519.0,7.8,3743.0,2334.0,90.2,54.93554,1.5789
0.67,1.1,1.88,1.55,0.662265,-0.52,1.4611053,7.88101,13.618055,11.18496,17.0844,1193.0,1768.0,100.0,3743.0,3200.0,90.2,54.93554,0.0
0.68,1.1,1.55,1.63,-0.52,0.527662,1.4611053,7.434038,13.618055,11.18496,15.63999,1193.0,1519.0,7.8,3743.0,2334.0,90.2,54.93554,0.0
0.805,1.1,1.91,2.28,1.1571612,1.142892,1.4611053,7.639878,13.618055,11.18496,18.168838,1193.0,1728.0,91.0,3743.0,3186.0,90.2,54.93554,0.0
0.745,1.1,1.91,1.54,1.1571612,0.075545,1.4611053,7.639878,13.618055,11.18496,18.168838,1193.0,1728.0,91.0,3743.0,3186.0,90.2,54.93554,0.0
0.68,1.1,0.98,1.63,0.61804922,0.527662,1.4611053,5.391714996,13.618055,11.18496,75.640097,1193.0,453.69,85.0,3743.0,1615.0,90.2,54.93554,1.9389
0.76,1.1,1.91,2.2,1.1571612,1.0463825,1.4611053,7.639878,13.618055,11.18496,18.168838,1193.0,1728.0,91.0,3743.0,3186.0,90.2,54.93554,0.0
0.83,1.1,2.2,1.91,1.5643615,1.1571612,1.4611053,8.96702,13.618055,11.18496,17.0,1193.0,2739.0,150.0,3743.0,4701.0,90.2,54.93554,0.0
0.745,1.1,1.55,1.54,-0.52,0.075545,1.4611053,7.434038,13.618055,11.18496,15.63999,1193.0,1519.0,7.8,3743.0,2334.0,90.2,54.93554,2.2132
0.805,1.1,1.9,2.28,1.235784,1.142892,1.4611053,7.72638,13.618055,11.18496,20.29239,1193.0,1357.77,400.0,3743.0,3200.0,90.2,54.93554,0.0
0.805,1.1,1.31,2.28,-0.42,1.142892,1.4611053,7.646236,13.618055,11.18496,15.035271,1193.0,923.0,160.0,3743.0,1363.0,90.2,54.93554,0.0
0.76,1.1,0.98,2.2,0.61804922,1.0463825,1.4611053,5.391714996,13.618055,11.18496,75.640097,1193.0,453.69,85.0,3743.0,1615.0,90.2,54.93554,0.1881
0.745,1.1,1.31,1.54,-0.42,0.075545,1.4611053,7.646236,13.618055,11.18496,15.035271,1193.0,923.0,160.0,3743.0,1363.0,90.2,54.93554,3.0942
0.9,1.1,2.2,0.98,1.5643615,0.61804922,1.4611053,8.96702,13.618055,11.18496,17.0,1193.0,2739.0,150.0,3743.0,4701.0,90.2,54.93554,0.0
0.745,1.1,1.9,1.54,1.235784,0.075545,1.4611053,7.72638,13.618055,11.18496,20.29239,1193.0,1357.77,400.0,3743.0,3200.0,90.2,54.93554,0.0
0.765,1.1,1.9,2.2,1.235784,1.5643615,1.4611053,7.72638,13.618055,11.18496,20.29239,1193.0,1357.77,400.0,3743.0,3200.0,90.2,54.93554,0.0
0.88,1.1,2.28,1.65,1.142892,-0.62,1.4611053,7.4589,13.618055,11.18496,18.08,1193.0,2237.0,150.0,3743.0,3968.0,90.2,54.93554,0.0
0.67,1.1,0.98,1.9,0.61804922,0.06039663,1.4611053,5.391714996,13.618055,11.18496,75.640097,1193.0,453.69,85.0,3743.0,1615.0,90.2,54.93554,0.0
0.88,1.1,1.54,1.65,0.075545,-0.62,1.4611053,6.82812,13.618055,11.18496,13.5755,1193.0,1941.0,22.0,3743.0,3560.0,90.2,54.93554,3.0304
0.86,1.1,2.2,1.31,1.5643615,-0.42,1.4611053,8.96702,13.618055,11.18496,17.0,1193.0,2739.0,150.0,3743.0,4701.0,90.2,54.93554,0.0
0.745,1.1,1.88,1.54,0.662265,0.075545,1.4611053,7.88101,13.618055,11.18496,17.0844,1193.0,1768.0,100.0,3743.0,3200.0,90.2,54.93554,0.5484
0.76,1.1,0.98,2.05,0.61804922,1.04740119,1.4611053,5.391714996,13.618055,11.18496,75.640097,1193.0,453.69,85.0,3743.0,1615.0,90.2,54.93554,3.7234
0.68,1.1,1.83,1.63,0.15323634,0.527662,1.4611053,7.9024681,13.618055,11.18496,16.19921,1193.0,1811.0,80.0,3743.0,3134.0,90.2,54.93554,0.0
0.88,1.1,2.2,1.65,1.5643615,-0.62,1.4611053,8.96702,13.618055,11.18496,17.0,1193.0,2739.0,150.0,3743.0,4701.0,90.2,54.93554,0.0
0.76,1.1,1.88,2.2,0.662265,1.0463825,1.4611053,7.88101,13.618055,11.18496,17.0844,1193.0,1768.0,100.0,3743.0,3200.0,90.2,54.93554,0.0
0.765,1.1,1.88,2.2,0.662265,1.5643615,1.4611053,7.88101,13.618055,11.18496,17.0844,1193.0,1768.0,100.0,3743.0,3200.0,90.2,54.93554,0.0
0.73,1.1,0.98,2.16,0.61804922,0.74733,1.4611053,5.391714996,13.618055,11.18496,75.640097,1193.0,453.69,85.0,3743.0,1615.0,90.2,54.93554,1.5043
0.83,1.1,1.31,1.96,-0.42,1.1120702,1.4611053,7.646236,13.618055,11.18496,15.035271,1193.0,923.0,160.0,3743.0,1363.0,90.2,54.93554,3.8529
0.86,1.1,1.91,1.33,1.1571612,0.433289,1.4611053,7.639878,13.618055,11.18496,18.168838,1193.0,1728.0,91.0,3743.0,3186.0,90.2,54.93554,1.9201
0.83,1.1,1.9,1.96,1.235784,1.1120702,1.4611053,7.72638,13.618055,11.18496,20.29239,1193.0,1357.77,400.0,3743.0,3200.0,90.2,54.93554,0.0
0.805,1.1,1.55,2.28,-0.52,1.142892,1.4611053,7.434038,13.618055,11.18496,15.63999,1193.0,1519.0,7.8,3743.0,2334.0,90.2,54.93554,0.3777
0.86,1.1,1.31,1.33,-0.42,0.433289,1.4611053,7.646236,13.618055,11.18496,15.035271,1193.0,923.0,160.0,3743.0,1363.0,90.2,54.93554,2.9647
0.86,1.1,1.9,1.33,1.235784,0.433289,1.4611053,7.72638,13.618055,11.18496,20.29239,1193.0,1357.77,400.0,3743.0,3200.0,90.2,54.93554,0.0
0.76,1.1,1.55,2.2,-0.52,1.0463825,1.4611053,7.434038,13.618055,11.18496,15.63999,1193.0,1519.0,7.8,3743.0,2334.0,90.2,54.93554,0.0
0.9,1.14,2.2,0.98,1.5643615,0.61804922,1.4611053,8.96702,13.618055,10.783,17.0,1297.0,2739.0,150.0,3373.0,4701.0,90.2,54.93554,0.0
0.745,1.14,1.9,1.54,1.235784,0.075545,1.4611053,7.72638,13.618055,10.783,20.29239,1297.0,1357.77,400.0,3373.0,3200.0,90.2,54.93554,0.0
0.86,1.14,2.2,1.31,1.5643615,-0.42,1.4611053,8.96702,13.618055,10.783,17.0,1297.0,2739.0,150.0,3373.0,4701.0,90.2,54.93554,0.0
0.9,1.17,2.2,0.98,1.5643615,0.61804922,1.4611053,8.96702,13.618055,11.078,17.0,1345.0,2739.0,150.0,2076.0,4701.0,90.2,54.93554,0.0
